VARIABLES
<gurobi.Var x[16,8] (value 1.0)>
<gurobi.Var x[17,6] (value 1.0)>
<gurobi.Var x[18,10] (value 1.0)>
<gurobi.Var x[19,10] (value 1.0)>
<gurobi.Var x[20,8] (value 1.0)>
<gurobi.Var x[21,7] (value 1.0)>
<gurobi.Var x[22,10] (value 1.0)>
<gurobi.Var x[23,6] (value 1.0)>
<gurobi.Var x[24,7] (value 1.0)>
<gurobi.Var x[25,6] (value 1.0)>
<gurobi.Var x[26,8] (value 1.0)>
<gurobi.Var x[27,7] (value 1.0)>
<gurobi.Var x[28,9] (value 1.0)>
<gurobi.Var x[29,9] (value 1.0)>
<gurobi.Var x[30,9] (value 1.0)>
<gurobi.Var v_m[16,A,6,8] (value 1.0)>
<gurobi.Var v_m[16,C,7,8] (value 1.0)>
<gurobi.Var v_m[16,B,6,8] (value 1.0)>
<gurobi.Var v_m[16,B,7,8] (value 1.0)>
<gurobi.Var v_m[16,E,6,8] (value 1.0)>
<gurobi.Var v_m[16,D,6,8] (value 1.0)>
<gurobi.Var v_m[16,F,7,8] (value 1.0)>
<gurobi.Var v_m[18,A,7,10] (value 1.0)>
<gurobi.Var v_m[18,A,9,10] (value 1.0)>
<gurobi.Var v_m[18,C,6,10] (value 1.0)>
<gurobi.Var v_m[18,C,7,10] (value 1.0)>
<gurobi.Var v_m[18,C,8,10] (value 1.0)>
<gurobi.Var v_m[18,C,9,10] (value 1.0)>
<gurobi.Var v_m[18,B,6,10] (value 1.0)>
<gurobi.Var v_m[18,B,7,10] (value 1.0)>
<gurobi.Var v_m[18,D,6,10] (value 1.0)>
<gurobi.Var v_m[18,F,7,10] (value 1.0)>
<gurobi.Var v_m[18,F,8,10] (value 1.0)>
<gurobi.Var v_m[18,F,9,10] (value 1.0)>
<gurobi.Var v_m[19,A,7,10] (value 1.0)>
<gurobi.Var v_m[19,A,9,10] (value 1.0)>
<gurobi.Var v_m[19,B,9,10] (value 1.0)>
<gurobi.Var v_m[20,C,6,8] (value 1.0)>
<gurobi.Var v_m[20,E,6,8] (value 1.0)>
<gurobi.Var v_m[21,B,6,7] (value 1.0)>
<gurobi.Var v_m[21,E,6,7] (value 1.0)>
<gurobi.Var v_m[22,A,6,10] (value 1.0)>
<gurobi.Var v_m[22,C,8,10] (value 1.0)>
<gurobi.Var v_m[22,C,9,10] (value 1.0)>
<gurobi.Var v_m[24,C,6,7] (value 1.0)>
<gurobi.Var v_m[24,B,6,7] (value 1.0)>
<gurobi.Var v_m[24,F,6,7] (value 1.0)>
<gurobi.Var v_m[26,A,7,8] (value 1.0)>
<gurobi.Var v_m[26,C,6,8] (value 1.0)>
<gurobi.Var v_m[26,B,7,8] (value 1.0)>
<gurobi.Var v_m[26,D,6,8] (value 1.0)>
<gurobi.Var v_m[26,D,7,8] (value 1.0)>
<gurobi.Var v_m[26,F,6,8] (value 1.0)>
<gurobi.Var v_m[26,F,7,8] (value 1.0)>
<gurobi.Var v_m[27,A,6,7] (value 1.0)>
<gurobi.Var v_m[27,E,6,7] (value 1.0)>
<gurobi.Var v_m[28,A,8,9] (value 1.0)>
<gurobi.Var v_m[28,C,8,9] (value 1.0)>
<gurobi.Var v_m[28,B,7,9] (value 1.0)>
<gurobi.Var v_m[28,E,8,9] (value 1.0)>
<gurobi.Var v_m[28,D,7,9] (value 1.0)>
<gurobi.Var v_m[28,D,8,9] (value 1.0)>
<gurobi.Var v_m[28,F,6,9] (value 1.0)>
<gurobi.Var v_m[28,F,7,9] (value 1.0)>
